Year,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,East Timor,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macau,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mexico,Moldova,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,Norway,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of the Congo,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Serbia-Montenegro,Sierra Leone,Singapore,Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna,West Bank and Gaza Strip,Western Sahara,Yemen,Yugoslavia,Zaire,Zambia,Zimbabwe,Grand Total
1994,9,2,227,9,14,4,9,5,11,0,1,68,1,5,0,3,0,8,9,0,19,2,0,16,39,6,4,1,1,15,13,201,1,1,4,9,6,1,0,0,2,0,7,0,6,143,21,0,0,6,4,0,1,97,0,0,1,1,18,79,4,42,84,2,0,0,27,6,4,2,0,107,5,43,18,10,55,18,2,2,9,6,1,5,0,2,0,1,2,67,3,3,0,0,3,0,1,0,0,0,0,13,0,0,42,1,0,2,3,8,1,3,3,1,19,8,8,1,2,154,3,3,2,91,72,4,1,0,8,0,47,33,2,2,0,0,22,1,1,1,0,57,174,2,0,55,35,0,0,5,1,0,1,0,0,5,31,1,24,13,1,1,300,0,13,10,0,256,55,4,0,0,12,1,1,165,0,19,1,6,0,1,3456
1995,15,2,412,19,30,5,14,17,13,0,9,142,1,6,0,4,0,10,15,1,42,4,0,99,95,8,9,1,4,32,21,324,1,1,5,9,9,4,0,6,4,0,7,0,12,245,30,0,2,8,9,0,2,168,0,3,1,2,35,226,5,50,166,2,0,0,61,18,5,2,0,286,29,51,35,13,68,19,9,3,29,9,1,9,0,2,0,1,3,105,3,3,1,2,3,1,2,3,0,0,0,14,2,0,71,1,0,3,6,20,1,3,10,1,37,10,9,1,2,820,9,13,14,135,135,8,4,0,8,1,84,50,5,10,0,0,36,1,4,1,0,70,206,6,0,99,161,2,0,9,1,1,2,5,0,9,65,2,36,14,5,2,433,0,20,12,2,278,115,5,1,0,23,2,1,232,0,27,4,12,1,3,6537
1996,19,8,541,23,49,6,19,21,15,0,25,303,1,6,0,6,0,11,48,1,60,16,0,134,128,8,10,2,5,40,83,733,1,2,8,10,19,7,0,6,4,0,10,0,17,296,37,0,3,9,16,0,2,438,2,3,2,2,38,278,7,70,192,3,0,0,88,37,8,15,0,499,94,54,47,14,87,27,11,4,37,11,1,12,0,2,5,2,3,144,3,4,5,5,3,11,2,5,0,0,0,14,2,1,146,3,0,5,6,33,1,8,16,3,63,11,20,1,3,1000,11,23,14,177,196,14,4,1,9,1,150,65,6,10,0,0,41,1,9,4,0,86,253,7,0,162,337,2,0,19,1,1,3,9,2,14,87,2,55,15,8,2,487,0,49,15,2,314,150,6,1,2,35,3,1,262,0,35,20,25,5,3,9595
1997,20,49,885,30,60,6,23,22,16,2,36,320,3,8,0,6,0,15,90,1,99,19,0,213,146,8,12,2,6,46,101,1331,4,3,16,24,19,11,1,6,5,1,22,0,21,318,39,0,3,9,22,0,2,568,4,3,3,2,44,290,8,91,218,3,0,1,104,59,8,32,0,692,121,54,68,18,100,35,12,12,42,14,3,29,0,4,5,2,5,190,3,4,5,6,3,27,4,6,0,0,0,17,3,1,241,4,0,5,6,68,1,17,17,4,70,14,40,1,3,1206,17,25,20,235,253,17,4,1,11,1,227,98,6,36,0,0,44,1,13,5,0,105,270,7,0,248,401,2,0,22,3,2,7,10,3,15,127,3,75,15,8,2,531,0,73,17,2,392,190,8,1,2,76,5,1,284,0,54,58,30,5,3,12792
1998,21,56,1036,50,60,8,29,23,16,2,36,322,3,11,0,6,0,15,99,1,101,21,0,226,153,9,16,2,7,47,103,1425,4,3,16,24,20,11,5,6,5,1,22,0,24,321,39,0,3,9,22,0,2,580,4,3,3,2,56,296,8,119,218,3,0,3,105,59,8,34,0,753,124,59,75,21,114,41,12,12,43,15,3,31,0,4,5,2,9,213,3,4,5,6,3,33,9,6,0,0,0,17,3,1,243,4,0,5,6,68,1,17,17,4,70,14,42,1,3,1243,17,25,20,240,271,19,4,1,11,1,253,107,6,37,0,0,51,1,15,5,0,106,276,7,0,265,436,2,0,22,3,3,7,11,4,15,138,4,79,15,8,2,554,0,91,17,2,455,221,8,1,2,77,5,1,296,0,61,104,30,5,3,13726
1999,30,59,1142,84,61,10,29,23,16,2,36,333,4,13,0,6,0,15,104,1,102,22,0,239,161,9,18,2,8,50,105,1541,4,3,16,24,21,11,8,7,5,1,22,0,26,322,39,0,3,10,24,3,2,626,4,3,3,2,63,309,8,154,219,3,0,3,110,59,8,34,0,865,184,67,87,24,122,48,12,12,45,17,3,31,39,4,8,2,10,255,3,6,5,6,3,33,12,6,0,0,0,17,3,1,244,4,0,5,7,72,2,25,18,4,71,16,60,1,3,1282,18,25,21,245,302,19,4,1,14,1,307,107,6,38,0,0,60,1,16,5,1,110,293,7,0,312,482,2,0,27,3,4,9,13,4,15,142,4,83,15,8,2,663,0,110,23,2,531,274,8,9,2,82,5,1,307,0,78,127,30,12,3,15121
2000,44,61,1280,106,61,12,30,23,17,2,36,356,4,13,1,6,0,15,110,1,104,24,0,256,165,9,23,3,8,52,109,1678,4,3,18,24,23,11,11,7,5,1,22,4,30,322,39,0,3,10,25,7,2,654,4,3,3,3,70,317,8,182,220,15,0,3,119,59,10,34,0,1045,285,82,97,24,137,56,14,12,58,19,4,35,99,4,12,10,13,267,3,7,5,6,3,33,15,6,0,3,0,17,3,1,248,5,0,5,10,72,23,48,19,4,72,16,66,1,3,1331,19,25,23,248,434,19,4,2,14,1,445,108,11,42,0,0,84,1,17,6,2,119,314,7,0,424,550,2,1,34,3,4,10,17,4,15,148,6,87,15,8,3,698,0,130,24,2,592,306,8,9,2,82,5,1,335,0,88,141,30,20,4,16935
2001,58,62,1393,146,63,14,32,23,21,2,36,371,5,13,1,6,0,15,112,1,107,25,0,293,172,9,23,4,8,55,121,1885,4,4,21,24,24,12,16,7,5,1,22,4,35,322,39,0,3,11,25,8,2,675,4,3,3,3,74,325,8,196,222,15,1,4,124,59,11,35,0,1279,390,86,100,26,216,67,15,12,61,21,5,42,116,6,13,11,13,272,3,10,5,6,3,33,82,6,0,4,0,17,3,1,255,5,1,5,10,75,29,81,20,5,72,16,71,1,4,1384,19,25,23,251,484,20,4,3,15,1,580,110,14,50,0,0,84,1,17,6,2,124,314,8,0,503,586,2,1,43,3,4,10,19,4,17,154,10,101,15,8,4,717,0,154,24,2,686,347,8,9,2,87,9,1,458,0,95,161,30,20,7,18841
2002,96,62,1525,152,63,14,32,23,22,2,36,376,5,16,1,6,0,15,115,1,108,26,0,311,175,9,23,4,12,56,123,2035,4,4,21,24,24,12,23,7,5,1,22,4,37,322,39,0,3,11,28,8,2,707,4,3,3,3,76,328,8,207,222,15,1,5,126,60,11,35,0,1463,433,86,106,26,291,74,16,12,63,23,5,44,121,7,15,11,13,280,3,13,5,6,3,33,90,11,1,4,0,17,3,1,255,5,1,5,10,79,29,139,22,5,72,16,77,1,4,1430,19,26,23,253,532,20,4,3,18,1,669,110,16,53,0,0,84,1,17,6,3,127,322,8,0,544,589,2,1,56,3,4,10,19,4,17,154,12,113,15,8,5,722,1,178,27,2,707,380,8,9,2,92,9,1,544,0,102,164,30,21,15,20174
2003,196,63,1600,152,64,14,32,23,22,2,37,380,5,24,1,6,0,16,116,1,109,26,0,329,176,9,23,4,12,58,126,2133,4,4,21,24,24,13,29,7,5,1,22,6,41,322,39,0,3,11,29,8,2,741,4,3,3,3,82,330,8,219,225,15,2,6,131,60,11,35,0,1659,451,88,208,27,329,89,16,12,65,23,5,46,130,10,16,13,13,285,3,15,5,6,3,33,95,11,1,4,0,17,3,1,256,5,1,10,10,88,29,154,25,8,72,16,86,1,5,1459,19,26,23,254,639,20,4,3,19,1,745,110,24,53,0,6,84,1,17,6,4,128,322,9,0,565,598,2,1,56,3,5,10,20,4,17,154,12,119,15,8,5,741,1,208,28,2,730,413,8,9,2,100,9,1,589,0,109,164,30,21,16,21452
2004,284,63,1667,152,64,14,32,23,22,2,37,391,5,24,1,6,0,16,116,1,109,26,0,330,176,9,25,4,12,58,128,2170,4,4,21,24,25,13,34,7,6,1,22,6,43,325,39,0,3,11,31,8,2,752,4,3,3,3,85,333,8,223,227,15,2,6,133,61,11,35,0,1767,468,88,531,27,348,92,17,12,65,23,5,46,131,10,16,13,13,286,3,15,5,6,3,33,95,11,1,4,0,17,3,2,257,5,1,10,10,90,29,216,26,8,72,16,92,1,5,1526,19,26,23,257,671,20,4,3,19,1,789,110,41,53,0,7,84,1,17,6,4,129,322,9,0,596,631,2,1,61,3,5,10,20,5,19,154,13,163,15,8,5,768,1,218,28,2,735,422,8,14,2,100,9,1,623,0,109,164,30,21,16,22618
2005,439,63,1771,152,67,14,32,23,22,2,37,414,5,24,1,6,0,17,117,1,109,26,0,335,176,9,25,4,12,58,129,2212,4,4,22,24,25,13,39,7,6,1,22,7,43,327,39,0,3,11,36,8,2,785,4,3,3,3,91,336,8,229,227,16,6,6,134,61,12,35,0,1913,483,93,1148,27,391,98,18,12,65,27,5,48,139,12,18,13,13,303,3,15,5,6,3,33,95,11,1,4,0,18,3,3,258,5,1,10,10,98,29,286,26,8,72,16,101,1,5,1603,19,26,23,259,696,20,4,4,19,1,853,111,42,54,0,9,84,1,17,6,4,135,322,9,0,620,764,2,1,67,3,5,13,20,5,19,155,13,318,16,10,5,809,1,229,28,2,764,443,9,16,2,100,9,1,661,0,116,164,30,21,16,24635
2006,721,63,1923,152,67,14,34,24,22,2,38,437,6,24,1,6,1,17,118,1,112,26,0,340,176,9,27,5,23,59,129,2255,4,4,22,24,25,13,44,7,6,1,22,7,43,332,39,0,3,11,47,8,2,819,4,3,3,3,94,340,8,252,231,16,7,8,135,61,12,35,0,2080,493,107,1986,28,472,102,21,12,65,28,5,50,145,12,21,13,13,311,4,15,5,6,3,33,98,12,1,4,1,18,3,3,265,6,1,10,10,100,29,369,26,8,72,16,138,1,6,1767,19,26,23,260,754,20,4,4,19,1,909,111,45,54,0,11,84,1,17,6,4,145,322,10,0,643,981,2,1,91,3,6,14,20,6,19,155,13,520,16,10,5,852,1,229,28,2,770,449,9,16,2,100,9,1,696,0,121,164,30,21,17,27393
2007,1062,63,2047,152,67,15,34,25,23,2,38,446,6,25,1,7,1,20,120,1,112,26,0,343,176,10,27,6,30,67,129,2285,4,4,22,25,26,13,55,7,6,1,22,9,43,332,39,0,5,11,52,8,3,835,4,3,3,3,94,343,8,267,231,16,7,8,137,61,12,35,0,2229,495,116,3033,29,525,102,22,13,65,28,5,62,150,12,22,13,14,329,4,15,6,6,3,33,99,12,1,4,2,23,3,3,275,6,2,16,11,103,29,459,26,8,72,23,199,1,6,2027,19,27,23,264,819,20,4,4,19,1,960,111,46,55,0,11,84,1,17,6,4,301,324,10,0,654,1113,2,1,114,3,6,14,22,6,19,156,13,813,16,10,6,881,1,230,29,2,790,457,9,16,2,102,9,1,784,1,128,164,30,21,18,30635
